Albania, 74
Andorra, 7
Austria, 436
Belarus, 98
Belgium, 594
Bosnia and Herzegovina, 203
Bulgaria, 224
Croatia, 421
Cyprus, 45
Czech Republic, 601
Denmark, 1406
Estonia, 106
Finland, 960
France, 28048
Germany, 11322
Greece, 600
Hungary, 341
Iceland, 74
Ireland, 207
Italy, 7,447
Kazakhstan (partially in Europe), 29
Kosovo, 37
Latvia, 96
Liechtenstein, 11
Lithuania, 106
Luxembourg, 102
Malta, 14
Moldova, 56
Monaco, 1
Montenegro, 89
Netherlands, 2877
North Macedonia, 85
Norway, 3627
Poland, 906
Portugal, 793
Romania, 451
Russia (partially in Europe), 6722
San Marino, 9
Serbia, 425
Slovakia, 292
Slovenia, 192
Spain, 8117
Sweden, 3640
Switzerland, 2057